item_name,category,base_unit,par_little_shop,par_keele,supplier,ref
Whole,Milk,each,16,40,Booker,
Semi Skimmed,Milk,each,2,2,Booker,
Skimmed,Milk,each,2,2,Booker,
Oatly,Milk,pack of 6,3,6,Booker,
Soya Alpro,Milk,pack of 12,1,2,Booker,
Almond Alpro,Milk,pack of 12,1,1,Booker,
Coconut Alpro,Milk,pack of 12,1,1,Booker,
Cream Squirty,Dairy,each,2,3,Booker,
,,,,,,
Sourdough 1kg,Bread,pack,3,18,Bradwall Bakehouse,
Baps,Bread,pack of 6,2,12,Bradwall Bakehouse,
Fruit Loaf,Bread,pack,2,5,Bradwall Bakehouse,
New York Bakery Bagels,Bread,pack of 5,4,4,"Sainsbury's, Morrisons",
Hovis Granary,Bread,pack,2,4,"Sainsbury's, Morrisons",
,,,,,,
Coffee Cake,Cakes,pack of 14,2,5,Gills Puddings,
Lemon Drizzle,Cakes,pack of 12,2,5,Gills Puddings,
Carrot Cake,Cakes,pack of 12,2,5,Gills Puddings,
Raspberry Bakewell,Cakes,pack of 12,3,5,Gills Puddings,
Brownie,Cakes,pack of 12,2,5,Gills Puddings,
,,,,,,
Orange Juice,Soft Drinks,pack of 12,2,,Booker,
Apple Juice,Soft Drinks,pack of 12,2,,Booker,
Diet Coke,Soft Drinks,pack of 24,1,,Booker,
Pepsi,Soft Drinks,pack of 24,1,,Booker,
San Pellegrino Orange,Soft Drinks,pack of 24,1,,Booker,
San Pellegrino Lemon,Soft Drinks,pack of 24,1,,Booker,
San Pellegrino Blood Orange,Soft Drinks,pack of 6,1,,Booker,
San Pellegrino Pomegranate,Soft Drinks,pack of 6,1,,Booker,
San Pellegrino Sparkling Water,Soft Drinks,pack of 12,1,,Booker,
Smart Water,Soft Drinks,pack of 24,1,,Booker,
Kombucha Cola,Soft Drinks,each,3,,Amazon,
Kombucha Pineapple & Mango,Soft Drinks,each,3,,Amazon,
Kombucha Ginger,Soft Drinks,each,3,,Amazon,
Kombucha Lemon,Soft Drinks,each,3,,Amazon,
Kombucha Raspberry,Soft Drinks,each,3,,Amazon,
Kombucha Blood Orange,Soft Drinks,each,3,,Amazon,
,,,,,,
Marmalade ,Spreads,each,3,,"Sainsbury's, Morrisons",
Strawberry Jam ,Spreads,each,3,,Aldi,
Raspberry Jam ,Spreads,each,3,,Aldi,
Butter Spread,Spreads,each,3,,Aldi,
Flora,Spreads,each,1,,"Sainsbury's, Morrisons",
Cream Cheese,Spreads,each,3,6,Aldi,
Humous,Spreads,each,2,,Sainsbury's,
,,,,,,
Banana,Fruit & Veg,each,2,,"Sainsbury's, Morrisons",
Grapes,Fruit & Veg,pack,1,,"Sainsbury's, Morrisons",
Blueberries,Fruit & Veg,pack,1,,"Sainsbury's, Morrisons",
Watercress,Fruit & Veg,pack,2,,"Sainsbury's, Morrisons",
Rocket,Fruit & Veg,pack,2,,"Sainsbury's, Morrisons",
Lemon,Fruit & Veg,each,2,,"Sainsbury's, Morrisons",
Peashoots,Fruit & Veg,pack,0,,Morrisons,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Back Bacon,Meat,pack,,,Booker,
Streaky Smoked Bacon,Meat,pack,,,Booker,
Cumberland Sausages,Meat,pack of 18,,,Booker,
Eggs,Meat,tray of 30,,,Booker,
Smoked Salmon 1kg,Fish,pack,,,Booker,
,,,,,,
Brie,Cheese,pack,,,Booker,
Cheddar Slices,Cheese,pack,,,Booker,
,,,,,,
Party Ice,Frozen,pack,,,Booker,
,,,,,,
,,,,,,
,,,,,,
Vegan Sausages,Pretend Meat!,pack of 6,,,"Sainsbury's, Morrisons",
,,,,,,
,,,,,,
Vanilla,Syrup,each,,,A1 Coffee,
Caramel,Syrup,each,,,A1 Coffee,
Hazelnut,Syrup,each,,,A1 Coffee,
Cherry,Syrup,each,,,A1 Coffee,
Maple Spice,Syrup,each,,,A1 Coffee,
Popcorn,Syrup,each,,,A1 Coffee,
Orange,Syrup,each,,,A1 Coffee,
Mint,Syrup,each,,,A1 Coffee,
SF Caramel 1ltr,Syrup,each,,,A1 Coffee,
SF Vanilla 1ltr,Syrup,each,,,A1 Coffee,
,,,,,,
Big Cups 12oz,Disposable,pack,,,A1 Coffee,
Small Cups 8oz,Disposable,pack,,,A1 Coffee,
Espresso Cups 4oz,Disposable,pack,,,A1 Coffee,
Big Lids 12oz,Disposable,pack,,,A1 Coffee,
Small Lids 8oz,Disposable,pack,,,A1 Coffee,
Two Cup Carriers,Disposable,pack,,,Booker,
Four Cup Carriers,Disposable,pack,,,Booker,
,,,,,,
Matcha Powder,Drink Consumables,each,,,A1 Coffee,
Turmeric Powder,Drink Consumables,each,,,A1 Coffee,
Beetroot Powder,Drink Consumables,each,,,A1 Coffee,
Chocolate Powder,Drink Consumables,each,,,A1 Coffee,
Spiced Chai Powder,Drink Consumables,each,,,A1 Coffee,
Minimallows,Drink Consumables,pack,,,Chartley Coffee,
Sugar Sticks - Brown,Drink Consumables,pack,,,,
Sugar Sticks - White,Drink Consumables,pack,,,,
,,,,,,
English Breakfast,Tea,pack,,,Chartley Coffee,
Early Grey,Tea,pack,,,Chartley Coffee,
Green Tea,Tea,pack,,,Chartley Coffee,
Red Berry,Tea,pack,,,Chartley Coffee,
Darjeeling,Tea,pack,,,Chartley Coffee,
Lemongrass & Ginger,Tea,pack,,,Chartley Coffee,
Assam,Tea,pack,,,Chartley Coffee,
Peppermint,Tea,pack,,,Chartley Coffee,
Decaf Tea,Tea,pack,,,Chartley Coffee,
,,,,,,
Bags - paper/celophane,Disposable,pack,1,,Booker,
